year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url,manually_replaced_url
2009,Slovenia,Slovenia,Quartissimo feat. Martina,Love Symphony,35,2,,10,,,16,14,,,,,Aleksandar Valenčić;Andrej Babić,Andrej Babić,"Rodi se in umre\nKot krog obrača se\nLe jaz in ti sva vse\nTo simfonija je\n\nRodi se in umre\nKot krog obrača se\nLe jaz in ti sva vse\nTo simfonija je\n\nOut of time, out of place\nSomewhere inside my universe\nWhere you live your dreams\n\nImagine you and me\nWe're flying above the sea\nFeeling free eternally\nLike in this love symphony",https://youtube.com/watch?v=zql3IGp4zO4,
2009,Netherlands,Netherlands,The Toppers,Shine,36,2,,19,,,17,11,,,,,Bas van den Heuvel;Gordon,,"(Shine, shine, shine)\n\nThere are so many wars right now in this world\nThere are so many things not right\nThere are too many people hurt in this world\nThere are too many men that fight\n\nTime is now to make the change\nTime is on our side\nLove will make us glow in the dark\nSo open up your heart\nAre you ready for a brand new start?\n\n(Shine)\nPeople, let your light shine\nLet the darkness fade away\nStep into a brighter day\nDon't forget about our world today\n\nLet your light shine\nMaybe the answer is just this simple song\nLet everybody shine along\nTo keep the world from going wrong\nLet your light shine\n\nSo many people with good heart in this world\nSo many, they can make a change\nSo the only thing that we have to do\nIs love the one we hate\n\nIt will change all darkness into bright\nIt will touch everybody's light\nThe whole world will be lighted\nAll people will be reunited\n\n(Shine)\nPeople, let your light shine\nLet the darkness fade away\nStep into a brighter day\nDon't forget about the role you must play\n\nLet your light shine\nMaybe the answer is just this simple song\nLet everybody shine along\nTo keep the world from going wrong\nLet your light shine\n\nAs long as we believe in good in each man\nAs long as we believe in love\nThe light will guide and take us to\nThe world we all dream of\nLet your light shine\n\n(Shine)\nPeople, let your light shine\nMaybe the answer is just this simple song\nLet everybody shine along\nTo keep the world from going wrong\nLet your light shine\n\nShine, shine, shine, shine",https://youtube.com/watch?v=6mR3W2fm7_E,
2009,Andorra,Andorra,Susanne Georgi,La Teva Decisió (Get A Life),37,1,,7,,,15,8,,,,,Lene Dissing;Marcus Winther-John;Pernille Georgi;Rune Braager;Susanne Georgi,Josep Roca Vila,"Sé que m'estimes, malgrat tot\nQue desconfies de la sort\nPerò no pots negar, és un error\nDeixar-ho tot serà la fí del nostre amor\n\nYou've got to get a life, that's what you say to me\nBut I would rather die, if you're not in it with me\nI'm gonna get a life, the kind that's made for two\nI know there's only one, I wanna live it with you\n\nAh ah ah I...\nAh ah ah I, I know that I'm right\nAh ah ah I, I'm getting a life\n\nÉs el moment de corregir\nL'adéu serà com un sospir\nConfio a què l'endemà\nL'amor tornarà a mi\n\nYou've got to get a life, that's what you say to me\nBut I would rather die, if you're not in it with me\nI'm gonna get a life, the kind that's made for two\nI know there's only one, I wanna live it with you\n\nAh ah ah I...\nAh ah ah I, I know that I'm right\nAh ah ah I, I'm getting a life\n\nSabrem lluitar, sabrem seguir\nMirar al futur, trobar-te i ser feliç\n\nYou've got to get a life, that's what you say to me\nBut I would rather die, if you're not in it with me\nI'm gonna get a life, the kind that's made for two\nI know there's only one, I wanna live it with you\n\nAh ah ah I...\nAh ah ah I, I know that I'm right\nAh ah ah I, I'm getting a life\nGonna get you into my life\n\n(Ah ah ah I...)\n(Ah ah ah I, I know that I'm right)\n(Ah ah ah I) I'm coming to life\nAmor meu, no ho oblidis mai",https://youtube.com/watch?v=3JnT7T877es,
2009,Slovakia,Slovakia,Kamil Mikulčík & Nela Pocisková,Leť Tmou,38,2,,8,,,18,8,,,,,Rastislav Dubovský,Anna Žigová;Petronela Kolevská,"Cítim chladné, tiene zradné\nTúžbou planie čo je na dne\nPrázdno v duši, to sa stáva\nHorkú príchuť temno máva\n\nMy musíme vyjsť z tieňov, nástrah a slov\nSrdce daj, nezúfaj, a leť tmou\n\nTiež to cítim, tiež sa bojím\nSen sa chveje strachom mojim\nChvíľa straty, chvíľa strachu\nKeď sa nádej váľa v prachu\n\nMy musíme vyjsť z tieňov nástrah a slov\nSrdce daj, nezúfaj, a leť tmou\nMy musíme vyjsť z tieňov nástrah a slov\nSrdce daj, nezúfaj, a leť tmou\n\nAle kam?\nNeviem v tejto chvíli každý raz sa zmýli\nTicho vo mne šepká: nezostávaj sám\n\nTiež to cítim, tiež sa bojím\nNezostávaj sám\n\nKeď sa blíži odpustenie\nMraky obáv odoženie\nNezablúdiš, si si istý\nKeď ťa niekto pevne istí\n\nBože nech nás tvoj hlas\nVedie temnotou v nás\nDaj nám dar, zázrak sprav, lásku vráť\nLáska, prosím\n\nLáska, prosím, nech nás tvoj hlas\nVedie temnotou v nás\nDaj nám dar, zázrak sprav, stoj pri nás\n\nLáska, prosím, nech nás tvoj hlas\nVedie temnotou v nás\nDaj nám dar, zázrak sprav, stoj pri nás\nLásku chráň",https://youtube.com/watch?v=RLMU1u2ojfk,
2009,Bulgaria,Bulgaria,Krassimir Avramov,Illusion,39,1,,11,,,16,7,,,,,Krassimir Avramov;William Tabanou,Casie Tabanou;Krassimir Avramov;William Tabanou,"Give me, give me your time\nShow me, show me you're mine\nGive me, give me your time\nShow me, show me you're mine\n(So I want your touch) All I want is your touch\n(Baby, need you much) Baby, need you so much\n\nShow me all I've never seen\nWrong, it feels so wrong\nTo be a part from afar\n\nYour lips could solve it for me\nYou don't know how\nYou don't know where to go, to go\n\nGive me, give me your time\nShow me, show me you're mine\n(So I want your touch) 'Cause I want your touch\n(Baby, need you much) Baby, need you so much\n\nGive me, give me your time\nShow me, show me you're mine\n(So I want your touch) All I want is your touch\n(Baby, need you much) Baby, need you so much, so much\n\nAha...\n??\n??\n\n(Give me, give me your time)\n(Show me, show me) you're mine\n(So I want your touch) 'Cause I want your touch\n(Baby, need you much) I need you so much\n\nGive me, give me your time\nShow me, show me you're mine\n(So I want your touch) All I want is your touch\n(Baby, need you much) I need you so much\n\n(Give me, give me your time)\n(Show me, show me you're mine)\n(So I want your touch)\n(Baby, need you much)",https://youtube.com/watch?v=Ov4QYpIttF0,
2009,Latvia,Latvia,Intars Busulis,Probka,40,2,,3,,,19,7,,,,,Kārlis Lācis,Jānis Elsbergs;Sergej Timofejev,"Пробка – все устали, вот как\nЛица серы, нервы, только б въехать первым\nИм повсюду встали ящики из стали\nВдруг я вижу выше прыгает по крышам, девушка\n\nВпереди прыгает прямо\nС мерса на вольво\nТру глаза – может это мираж\nНо глазам уже больно\n\nЭй, возьми меня наверх с собой\nЯ устал трубить себе отбой\nЯ хочу гулять по бамперам\nЯ ведь не привинчен намертво\n\nТолько я не знаю, кто ты\nНо хочу идти просто рядом с тобой\nВидеть, как внизу ветер клонит кусты\nНа обочине забитой кольцевой\n\nВот как из окна мне кулак\n""Так тебя и растак""\nА я только прыг-скок, от штанов моих клок\nЯ оставил, бог с ним, дальше что есть сил\nВоздух чистый CO2 – кругом голова\n\nНепростая это забава\nС мерса на вольво\nИ спешу на твой силуэт\nДалеко уж, довольно\n\nЭй, возьми меня навек с собой\nЯ устал трубить себе отбой\nЯ хочу гулять по бамперам\nЯ ведь не привинчен намертво\n\nЭй, постой, возьми меня с собой\nЯ устал трубить себе отбой\nЯ хочу гулять по бамперам\nЯ ведь не привинчен намертво\n\nЭй, возьми меня навек с собой\nЯ устал трубить себе отбой\nЯ хочу гулять по бамперам\nЯ ведь не привинчен намертво",https://youtube.com/watch?v=fTajw--jk8M,
2009,Belgium,Belgium,Copycat,,41,1,,3,,,17,1,,,,,Miam Monster Miam,Jacques Duvall,"Way down in Memphis, Tennessee\nThere's a guy looking just like me\nWearing the same blue suede shoes\nSinging the same old blues\n\nWay down in the US of A\nThere's a guy doing things my way\nCombing the same greasy hair\nHugging the same teddy bear\n\nHe's a copycat, trying to steal my soul\nBut he's too fat to rock 'n' roll\nHe's a copycat, trying to steal my soul\nBut he's too fat to rock 'n' roll\n\nWay down in the deep deep South\nThere's a guy with a girly mouth\nEating the same banana sandwich\nDressed in the same kind of kitsch\n\nWay down by the Mississippi river\nThere's a guy with a voice that quivers\nDriving the same Cadillac car\nChasing the same lucky star\n\nHe's a copycat, trying to steal my soul\nBut he's too fat to rock 'n' roll\nHe's a copycat, trying to steal my soul\nBut he's too fat to rock 'n' roll\n\nWay down in America\nThere's a guy, rich and arrogant\nDating my fair Priscilla\nHe makes me want to hire a killer\n\nWay down in the land of the brave\nThere's a guy lying in his grave\n'Cause nobody duplicating my jive\nWill never get away with that alive\n\nHe was a copycat, trying to steal my soul\nNow he's too dead to rock 'n' roll\nHe was a copycat, trying to steal my soul\nNow he's too dead to rock 'n' roll\n\n(Copycat) To rock 'n' roll, rock 'n' roll, rock 'n' roll...\n(He's too dead) To rock 'n' roll, rock 'n' roll, rock 'n' roll...\n(Copy-copycat, copycat)\n(Copy-copycat, copycat)\n(Copy-copycat, copycat)\n(Copy-copycat, copycat) He was a copycat",https://youtube.com/watch?v=8qVdSbiYT8w,
2009,Czech Republic,Czech Republic,Gipsy.cz,Aven Romale,42,1,,2,,,18,0,,,,,Radoslav 'Gipsy' Banga,,"They used to call me Gipsy, hello there\nIt means no problem to me, I don't care\nTill I've got microphone making you act\nI love to be that gipsy rat\n\nWord ain't key to me\nI can't think that easily\nIf you keep that energy\nGipsy sounds like symphony\n\nHate me or love me, baby\nSpeed up from null to eighty\nIn next three seconds music turns you to slave it\n\n(Aven Romale)\nIf you really wanna understand, just sing it with me: ada dadadai...\n(Aven Romale)\nI can make you really sing like Gipsy: adadada adadada...\n(Aven Romale)\nIf you really wanna understand, just sing it with me: ada dadadai...\n(Aven Romale)\nI can make you really feel like Gipsy\nMusic is the miracle, rhythm is the mirror, that's right\n\nIt's truth that Gipsies are just everywhere\nIt means no problem to me, I don't care\nListen the song and free your frozen mind\nAnd let the colours all behind\n\n(I) can make you feel like\n(Gipsy) Let colour behind\n(Free) your Gipsy inside of your music soul to be like\n(Oh) And what a wonder\n(Truth) You got it inside\n(Aven Čech, Jágr, pivo) Come together once more\n\n(Aven Romale)\nMa ker the šun man more\nListen and don't matter where you're from\nI'll make you jump, say it\n(Aven Romale)\n\nPraha Brno, normale\nČeší ví, my name is Gee\nSo everybody rock with me, please\n(Aven Romale)\n\n(Aven Romale)\nIf you really wanna understand, just sing it with me: ada dadadai...\n(Aven Romale)\nI can make you really sing like Gipsy: adadada adadada...\n(Aven Romale)\nIf you really wanna understand, just sing it with me: ada dadadai...\n(Aven Romale)\nI can make you really feel like Gipsy\nMusic is the miracle, rhythm is the mirror, that's right\n\nI feel something wrong\nMade us separate the world on pieces\nWe got eyes and we still stay all so blind\n\n(Aven Romale)\nIf you really wanna understand, just sing it with me: ada dadadai...\n(Aven Romale)\nI can make you really feel like Gipsy\nMusic is the miracle, rhythm is the mirror, that's right",https://youtube.com/watch?v=JsjBPt-GeFc,
2010,de,Germany,Lena,Satellite,1,,22,,1,246,,,243,187,,,John Gordon;Julie Frost,,"I went everywhere for you\nI even did my hair for you\nI bought new underwear, they're blue\nAnd I wore 'em just the other day\n\nLove, you know I'll fight for you\nI left on the porch light for you\nWhether you are sweet or cool\nI'm gonna love you either way\n\nLove, oh love, I gotta tell you how I feel about you\n'Cause I, oh I, can't go a minute without your love\nLike a satellite, I'm in orbit all the way around you\nAnd I would fall out into the night\nCan't go a minute without your love\n\nLove, I got it bad for you\nI saved the best I have for you\nYou sometimes make me sad and blue\nWouldn't have it any other way\n\nLove, my aim is straight and true\nCupid's arrow is just for you\nI even painted my toenails for you\nI did it just the other day\n\nLove, oh love, I gotta tell you how I feel about you\n'Cause I, oh I, can't go a minute without your love\nLike a satellite, I'm in orbit all the way around you\nAnd I would fall out into the night\nCan't go a minute without your...\nLove, oh love, I gotta tell you how I feel about you\n'Cause I, oh I, can't go a minute without your love\n\nWhere you go, I follow\nYou set the pace, we'll take it fast and slow\nI'll follow in your way\nYou got me, you got me\nA force more powerful than gravity\nIt's physics, there's no escape\n\nLove, my aim is straight and true\nCupid's arrow is just for you\nI even painted my toenails for you\nI did it just the other day\n\nLove, oh love, I gotta tell you how I feel about you\n'Cause I, oh I, can't go a minute without your love\nLike a satellite, I'm in orbit all the way around you\nAnd I would fall out into the night\nCan't go a minute without your...\nLove, oh love, I gotta tell you how I feel about you\n'Cause I, oh I, can't go a minute without your love\nLove, love, love, love, love",https://www.youtube.com/watch?v=7pL9vdpSvnY,yes
2010,tr,Turkey,maNga,We Could Be The Same,2,2,14,17,2,170,1,118,177,119,,,Ferman Akgül,,"You could be the one in my dreams\nYou could be much more than you seem\nAnything I've wanted in life\nDo you understand what I mean?\nI can see that this could be fate\nI can love you more than they hate\nDoesn't matter who they will blame\nWe can beat them at their own game\n\nI can see it in your eyes\nIt doesn't come as a surprise\nI've seen you dancing like a star\nNo matter how different we are\n\nFor all this time I've been loving you\nDon't even know your name\nFor just one night, we could be the same\nNo matter what they say\n\nAnd I feel I'm turning the page\nAnd I feel the world is a stage\nI don't think that drama will stop\nI don't think they'll give up the rage\nBut I know the world could be great\nI can love you more than they hate\nDoesn't matter who they will blame\nWe can beat them at their own game\n\nI can see it in your eyes\nIt doesn't count as a surprise\nI see you dancing like a star\nNo matter how different we are\n\nFor all this time I've been loving you\nDon't even know your name\nFor just one night, we could be the same\nNo matter what they say\n\nFor all this time I've been loving you\nDon't even know your name\nFor just one night, we could be the same\nNo matter what they say\n\nNo matter what they say\nNo matter what they say\nWe could be the same\nNo matter what they say",https://youtube.com/watch?v=524Yy7JWBd4,
2010,ro,Romania,Paula Seling & Ovi,Playing With Fire,3,2,19,10,3,162,4,104,155,167,,,Ovidiu Cernăuţeanu,,"Girl, girl, girl, can't you see what you do to me tonight?\nBoy, boy, boy, if you're mean, I will start a fight tonight\nYou and I could try to stop – uh boy, till you drop\nIf we get together now, we'll burn this place down\n\nYou and me, can't you see, we're playing with fire?\nTell me now, do you feel this burning desire?\nDon't stop, make it rock, it's taking us higher\nCould it be just a dream? Are you running away?\n\nUh ho... uh ho... uh ho...\n\nBoy, boy, boy, what a fight, come and spend with me the night\nGirl, girl, girl, are you sure? – Uhu – I ain't here to fight, alright?\nYou and I could try to stop – uh boy, till you drop\nIf we get together now, we'll burn this place down\n\nYou and me, can't you see, we're playing with fire\nTell me now, do you feel this burning desire?\nDon't stop, make it rock, it's taking us higher\nCould it be just a dream? Are you running away?\n\nUh ho... uh ho... uh ho...\n\nYou and me, can't you see, we're playing with fire?\nTell me now, do you feel this burning desire?\nDon't stop, make it rock, it's taking us higher\nCould it be just a dream? Are you running away?\n\nYou and me, can't you see, we're playing with fire?\nTell me now, do you feel this burning desire?\nDon't stop, make it rock, it's taking us higher\nCould it be just a dream? Are you running away?\n\nUh ho... uh ho... uh\nIf we get together now, we'll burn this place down",https://youtube.com/watch?v=6OlG9g4-cyg,
2010,dk,Denmark,Chanée & N'evergreen,In A Moment Like This,4,2,25,4,4,149,5,101,174,121,,,Erik Bernholm;Henrik Sethsson;Thomas G:son,Henrik Sethsson;Thomas G:son,"For as long as I remember\nFor as long as I've been blue\nEvery day since we've been parted\nAll I thought about was you\n\nDidn't need the time for sorrow\nDidn't need the time for pain\nWhat am I supposed to do\nWhen living without you\nWas the worst I ever knew?\n\nIn a moment like this\nWanna know, wanna know, wanna know what you're looking for\nWanna know, wanna know, wanna know did you ask for more\nOh... in a moment like this\nWanna know, wanna know, wanna know what I have to do\nWanna know, wanna know, wanna know how to get to you\nOh... in a moment like this\n\nEver since the day you left me\nOoh… ever since you went away\nI'm lost and I don't know\nWhere am I supposed to go?\nI still miss you so\n\nIn a moment like this\nWanna know, wanna know, wanna know what you're looking for\nWanna know, wanna know, wanna know did you ask for more\nOh... in a moment like this\n\nWhen I need for you to hold me\nSay you love and never leave me\nMy heart will forever be true\n\nIn a moment like this\nWanna know, wanna know, wanna know what you're looking for\nWanna know, wanna know, wanna know did you ask for more\nOh... in a moment like this\nWanna know, wanna know, wanna know what I have to do\nWanna know, wanna know, wanna know how to get to you\nOh... in a moment like this",https://youtube.com/watch?v=nNhIVQ1KBb8,
2010,az,Azerbaijan,Safura,Drip Drop,5,2,1,7,5,145,2,113,161,116,,,Anders Bagge;Stefan Örn,Sandra Bjurman,"You are my man, you are my half\nTell me what's happening\nI know something's wrong\nI can tell when you lie\nI can tell you've stopped trying\n\nAnd these last three weeks passed and we barely talked\nI think I know and it's breaking my heart\nAm I in or am I out?\n\nCan I love you forever through this?\nCan I trust in you forever through this?\nI don't know how to stop, how to stop\n\nThese teardro-o-ops\nThat drip drop, drip drop\nDrip drop, drip drop\nWhoah... whoah...\n\nThese teardro-o-ops\nThat drip drop, drip drop\nDrip drop, drip drop\nWhoah... whoah...\n\nTell me where have you been? Why are you late?\nYou smell like lipstick again\nCome on, answer my question\nSay something\nWhy are you acting out?\n\nOh, say it's in my head\n\nCan I love you forever through this?\nCan I trust in you forever through this?\nI don't know how to stop, how to stop\n\nThese teardro-o-ops\nThat drip drop, drip drop\nDrip drop, drip drop\nWhoah... whoah...\n\nI don't wanna cry\nI don't wanna hear your name\nIf this is where it ends\nI don't wanna run\nRun away from myself\nAnd be lost again...\n\n(Can I love you forever through this?)\nOh no no no... oh no no no...\nCan I trust in you forever through this?\n\nI don't know (These teardro-o-ops)\nI don't know (That drip drop, drip drop)\nI don't know (Drip drop, drip drop)\nWhoah... whoah...",https://youtube.com/watch?v=7zWO-V0dmHg,
2010,be,Belgium,Tom Dice,Me And My Guitar,6,1,7,10,6,143,1,167,76,185,,,Jeroen Swinnen;Tom Eeckhout,Ashley Hicklin;Tom Eeckhout,"People always say:\n""Tom, this has gone too far""\nBut I'm not afraid to chase my dreams\nJust me and my guitar\n\nAnd no one may ever know\nThe feelings inside my mind\n'Cause all of the lines I ever write\nAre running out of time\n\nSo maybe I should get a nine to five\nBut I don't wanna let it go\nThere's so much more to life\n\nTell me that I got it wrong\nTell me everything will be okay\nBefore I fall\nAnd tell me they'll play my songs\nTell me they'll sing the words I'll say\nWhen darkness falls\nThen all of the stars will see\nJust me and my guitar\nMmm...\n\nI'm sure that I'll find my way\n'Cause I'm not afraid to try\nBut even a world of love and hope\nCan't guarantee that price\n\nSo maybe I can get a nine to five\nBut I don't wanna let it go\nThere's so much more to life\n\nNo... tell me that I got it wrong\nTell me everything will be okay\nAnd before I fall\nNo, no... tell me they'll play my songs\nAnd tell me they'll sing the words I say\nWhen darkness falls\nThen all of the stars will see\nJust me and my guitar, oh oh...\n\nMe and my guitar, mmm... mmm...",https://youtube.com/watch?v=Nk1UAXlfBUA,
2010,am,Armenia,Eva Rivas,Apricot Stone,7,2,21,2,7,141,6,83,166,116,,,Armen Martirosyan,Karen Kavaleryan,"Many, many years ago, when I was a little child\nMama told me you should know our world is cruel and wild\nBut to make your way through cold and heat\nLove is all that you need\n\nI believed her every word, more than anything I heard\nBut I was too scared to lose my fun\nI began to cry a lot and she gave me apricots\nKisses of the earth, fruits of the sun\n\nApricot stone, hidden in my hand\nGiven back to me from the motherland\nApricot stone, I will drop it down in the frozen ground\nI'll just let it make its round\n\nApricot stone, hidden in my hand\nGiven back to me from the motherland\nApricot stone\n\nNow I see the northern stars shining brightly in the storm\nAnd I've got an avatar of my love to keep me warm\nNow I'm not afraid of violent winds\nThey may blow – they can't win\n\nMay the winter stay away from my harvest night and day\nMay God bless and keep my cherished fruit\nGrow my tree up to the sky, once I waved my home goodbye\nI just wanna go back to my roots\n\nApricot stone, hidden in my hand\nGiven back to me from the motherland\nApricot stone, I will drop it down in the frozen ground\nI'll just let it make its round\n\nApricot stone, hidden in my hand\nGiven back to me from the motherland\nApricot stone, hidden in my hand\nGiven back to me from the motherland\nApricot stone",https://youtube.com/watch?v=hgz5TZugISw,
2010,gr,Greece,Giorgos Alkaios & Friends,OPA,8,1,11,13,8,140,2,133,152,110,,,Giorgos Alkaios,Anastasios Kanaridis;Giannis Antoniou;Gogua Iakovos;Jenia Evgenios Buli;Lazos Ioannidis;Petros Zlatkos,"Opa!\nOpa, opa!\n\nEkapsa to hthes, nihtes mu palyes\nThripsala i anamnisis eyinan gi aftes\nMnimes ke fones adhikes ifhes\nKi afisa se mya gonia anihtes pliyes\n\nEkapsa to hthes nihtes mu palyes\nOnira ke efialtes rihno stis fotyes\nDhakria kafta psemmata polla\nMyazun sa vuvi tenia pu dhen vlepo pya\n\nOpa!\n\nVazo mya fotya (Hey!)\nS'ola ta palya (Hey!)\nOla tha t'allaxo (Opa!)\nKe tha to fonaxo (Opa!)\nPerasmena xehasmena ki ola ap'tin arhi xana (Opa!)\n\nVazo mya fotya (Hey!)\nS'ola ta palya (Hey!)\nOla tha t'allaxo (Opa!)\nKe tha to fonaxo (Opa!)\nPerasmena xehasmena ki ola ap'tin arhi xana (Opa!)\n\nEkapsa to hthes, nihtes mu palyes\nKi apo to midhen arhizo oso ki an dhe thes\nDhakria kafta psemmata polla\nPlirosa oso hrostusa ke ta dhanika\n\nOpa!\n\nVazo mya fotya (Hey!)\nS'ola ta palya (Hey!)\nOla tha t'allaxo (Opa!)\nKe tha to fonaxo (Opa!)\nPerasmena xehasmena ki ola ap'tin arhi xana (Opa!)\n\nEverybody say: opa!\n\nVazo mya fotya (Hey!)\nS'ola ta palya (Hey!)\nOla tha t'allaxo (Opa!)\nKe tha to fonaxo (Opa!)\nPerasmena xehasmena ki ola ap'tin arhi xana (Opa!)\n\nVazo mya fotya (Hey!)\nS'ola ta palya (Hey!)\nOla tha t'allaxo (Opa!)\nKe tha to fonaxo (Opa!)\nPerasmena xehasmena ki ola ap'tin arhi xana\n\nOpa!",https://youtube.com/watch?v=J50RL1rDisA,
2010,ge,Georgia,Sofia Nizharadze,Shine,9,2,13,16,9,136,3,106,127,160,,,Christian Leuzzi;Hanne Margrethe Fredriksen Sørvaag;Harry Sommerdahl,,"Who can ever tell the colour of a soul\nAnd the memories we keep from long ago?\nDo we ever really know each other's past?\n\nYou can't go back to before\nBut tomorrow will bring even more\n\nLike the tide's gonna turn\nYou will know when it's cold\nYou're on your own, but you're never alone\nShine, shine, like the stars in the sky\nWipe your dust off your love, let it shine\n\nSo when nothing's ever really carved in stone\nRemember that your heart is holding on\nAnd when every second melts up in the past\nDon't be afraid it will end\nOnly fear that it never began\n\nLike the tide's gonna turn\nYou will know when it's cold\nYou're on your own, but you're never alone\nShine, shine, like the stars in the sky\nWipe your dust off your love, let it shine\n\nYou can't go back to before\nBut tomorrow will bring even more\n\nLike the tide's gonna turn\nYou will know when it's cold\nYou're on your own, but you're never alone\nShine, shine, like the stars in the sky\nLet it shine",https://youtube.com/watch?v=2-1yBx6IQN0,
2010,ua,Ukraine,Alyosha,Sweet People,10,2,17,8,10,108,7,77,94,129,,,Olena Kucher;Borys Kukoba;Vadim Lisitsa,Olena Kucher,"Oh, sweet people\nWhat have we done?\nTell me what is happening?\nFor all that we've built\nTumbles and is gone\n\nOh, sweet people\nHave you no love for mankind?\nMust you go on killing\nJust to pass the time?\n\nThe message is so true\nThe end is really near\nAll these feelings take me down\nIt steals the things so dear\n\nYes, the message is so real\nDon't turn all the earth to stone\nBecause, because, because\nThis is your home\n\nOh, sweet people\nWhat about our children?\nIn theatres and video games\nThey watch what we send to ruin\n\nOh, sweet people\nWhat senseless game\nHave we all been playing?\nNo one but you to blame?\n\nThe message is so true\nThe end is really near\nAll these feelings take me down\nIt steals the things so dear\n\nYes, the message is so real\nDon't turn all the earth to stone\nBecause, because, because\nThis is your home\n\nThis is our home",https://youtube.com/watch?v=NQ2mAuqnXZk,
2010,ru,Russia,Peter Nalitch & Friends,Lost And Forgotten,11,1,20,2,11,90,7,74,107,63,,,Peter Nalitch,,"Would you believe, Lord of Mercy?\nWould you be so... Lord, Lord?\nI wanna love her now\nAnd I wanna feel that now with all...\nAll of those kisses and sweet embraces\n\nHere am I, lost and forgotten\nFor this cruel, cruel time\nWhen I'm first time in love\n(Now that is why)\nNow that is why I say Lord of Mercy\nAnd I hope now that you hear me\nOh yeah...\n\n(What are you doing man?)\nI'm looking at her photos\nWhat should I do with them?\n(Drop them into the fire)\nOh, yes, yes, I gonna burn 'em now\n'Cause I have to forget her now with all...\nAll of those kisses and sweet embraces\n\nHere am I, lost and forgotten\nFor this cruel, cruel time\nWhen I'm first time in love\n(Now that is why)\nNow that is why I say Lord of Mercy\nAnd I hope now that you hear me\nOh...\n\n(Here am I, lost and forgotten)\n(For this cruel, cruel time)\n(First time in love)\n(Now that is why)\nNow that is why I say Lord of Mercy\nAnd I hope now that you hear me\nOh, bring her back to me",https://youtube.com/watch?v=IOB7uaWuRyc,
2010,fr,France,Jessy Matador,Allez Olla Olé,12,,18,,12,82,,,151,34,,,Hugues Ducamin;Jacques Ballue,,"Tout le monde\n\nOh, la belle assemblée, qui a envie de bouger\nPour se laisser aller au rythme de l'année\nAllez, allez, allez, il faut en profiter\nC'est une bonne journée et on va la fêter\n\nChouchou faut te lever et bouger ton fessier\nDanser collé, serré pour un baiser salé\nPrends-moi par le côté, fais-moi ton déhanché\nLa la, ça va chauffer, je sens le truc monter\n\nAllez, allez, allez... allez, ola, olé...\nAllez, allez, allez... ola, olé...\nAllez, allez, allez... allez, ola, olé...\nAllez, allez, allez... c'est le son de l'année\n\nAllez, allez, allez, allez\nIl faut danser (Tout le monde)\nDanser (Tout le monde)\nDanser collé, serré\n\nTout le monde, dam badam...\nBadabadam badam...\nBadabadam badam badam... (C'est le son de l'année)\nDam badam...\nBadabadam badam...\nBadabadam badam badam dam...\nTout le monde, dam badam...\nBadabadam badam...\nBadabadam badam badam... (Faut se laisser aller)\nDam badam... (Comme ça, man)\nBadabadam badam...\nBadabadam badam badam dam... (Au rythme de l'année)\n\nAllez, allez, allez... allez, ola, olé...\nAllez, allez, allez... ola, olé...\nAllez, allez, allez... allez, ola, olé...\nAllez, allez, allez... c'est le son de l'année\n\nHop, hop, hop\nHop, hop, hop\nTout le monde\nHou, hou, humm...\n\nAllez (allez), allez (allez)\nIl faut danser\nTout le monde\nTout le monde\nAh...\n\nTout le monde, dam badam...\nBadabadam badam...\nBadabadam badam badam dam...\nTout le monde, dam badam...\nBadabadam badam...\nBadabadam badam badam dam...\nTout le monde, dam badam...\nBadabadam badam...\nBadabadam badam badam dam...\nTout le monde, dam badam... (Tout le monde)\nBadabadam badam...\nBadabadam badam badam... (Tout le monde)\n\nAllez, allez, allez... allez, ola, olé...\nAllez, allez, allez... ola, olé...\nAllez, allez, allez... allez, ola, olé...\nAllez, allez, allez... c'est le son de l'année",https://youtube.com/watch?v=anVLKrv28hs,
