person_a,person_a_role,person_b,person_b_role,year,country,performance_id
Sakis Rouvas,artist,Nikolaos Marianos,backings,2009,GR,2009-gr
Sakis Rouvas,artist,"Fokas Evangelinos, Nick Marianos",stageDirector,2009,GR,2009-gr
Dimitris Kontopoulos,composers,Craig Porteils,lyricists,2009,GR,2009-gr
Dimitris Kontopoulos,composers,Nikolaos Marianos,backings,2009,GR,2009-gr
Dimitris Kontopoulos,composers,"Fokas Evangelinos, Nick Marianos",stageDirector,2009,GR,2009-gr
Craig Porteils,lyricists,Nikolaos Marianos,backings,2009,GR,2009-gr
Craig Porteils,lyricists,"Fokas Evangelinos, Nick Marianos",stageDirector,2009,GR,2009-gr
Nikolaos Marianos,backings,"Fokas Evangelinos, Nick Marianos",stageDirector,2009,GR,2009-gr
Patricia Kaas,artist,Fred Blondin,composers,2009,FR,2009-fr
Patricia Kaas,artist,Anse Lazio,lyricists,2009,FR,2009-fr
Fred Blondin,composers,Anse Lazio,lyricists,2009,FR,2009-fr
Regina,artist,Aleksandar Čović,writers,2009,BA,2009-ba
Regina,artist,Elma Selimović,backings,2009,BA,2009-ba
Regina,artist,Boris Miljković,stageDirector,2009,BA,2009-ba
Aleksandar Čović,writers,Elma Selimović,backings,2009,BA,2009-ba
Aleksandar Čović,writers,Boris Miljković,stageDirector,2009,BA,2009-ba
Elma Selimović,backings,Boris Miljković,stageDirector,2009,BA,2009-ba
Inga & Anush,artist,Mane Akopyan,composers,2009,AM,2009-am
Inga & Anush,artist,Vardan Zadoyan,lyricists,2009,AM,2009-am
Mane Akopyan,composers,Vardan Zadoyan,lyricists,2009,AM,2009-am
Anastasia Prikhodko,artist,Konstantin Meladze,composers,2009,RU,2009-ru
Anastasia Prikhodko,artist,Konstantin Meladze,lyricists,2009,RU,2009-ru
Konstantin Meladze,composers,Konstantin Meladze,lyricists,2009,RU,2009-ru
Svetlana Loboda,artist,Svetlana Loboda,composers,2009,UA,2009-ua
Svetlana Loboda,artist,Yevgeny Matyushenko,lyricists,2009,UA,2009-ua
Svetlana Loboda,artist,Iryna Krestinina,backings,2009,UA,2009-ua
Svetlana Loboda,artist,Alan Badoev,stageDirector,2009,UA,2009-ua
Svetlana Loboda,composers,Yevgeny Matyushenko,lyricists,2009,UA,2009-ua
Svetlana Loboda,composers,Iryna Krestinina,backings,2009,UA,2009-ua
Svetlana Loboda,composers,Alan Badoev,stageDirector,2009,UA,2009-ua
Yevgeny Matyushenko,lyricists,Iryna Krestinina,backings,2009,UA,2009-ua
Yevgeny Matyushenko,lyricists,Alan Badoev,stageDirector,2009,UA,2009-ua
Iryna Krestinina,backings,Alan Badoev,stageDirector,2009,UA,2009-ua
Brinck,artist,Ronan Keating,writers,2009,DK,2009-dk
Brinck,artist,Tim McEwan,backings,2009,DK,2009-dk
Brinck,artist,Vicky Leander,stageDirector,2009,DK,2009-dk
Ronan Keating,writers,Tim McEwan,backings,2009,DK,2009-dk
Ronan Keating,writers,Vicky Leander,stageDirector,2009,DK,2009-dk
Tim McEwan,backings,Vicky Leander,stageDirector,2009,DK,2009-dk
Nelly Ciobanu,artist,Veaceslav Daniliuc,composers,2009,MD,2009-md
Nelly Ciobanu,artist,Nelly Ciobanu,lyricists,2009,MD,2009-md
Nelly Ciobanu,artist,Gicu Cimbir,backings,2009,MD,2009-md
Veaceslav Daniliuc,composers,Nelly Ciobanu,lyricists,2009,MD,2009-md
Veaceslav Daniliuc,composers,Gicu Cimbir,backings,2009,MD,2009-md
Nelly Ciobanu,lyricists,Gicu Cimbir,backings,2009,MD,2009-md
Flor,artist,Pedro Marques,composers,2009,PT,2009-pt
Flor,artist,Pedro Marques,lyricists,2009,PT,2009-pt
Pedro Marques,composers,Pedro Marques,lyricists,2009,PT,2009-pt
Noa & Mira Awad,artist,Noa,writers,2009,IL,2009-il
Noa & Mira Awad,artist,Gil Dor,backings,2009,IL,2009-il
Noa,writers,Gil Dor,backings,2009,IL,2009-il
Kejsi Tola,artist,Edmond Zhulali,composers,2009,AL,2009-al
Kejsi Tola,artist,June Muftaraj Taylor,lyricists,2009,AL,2009-al
Kejsi Tola,artist,Orgesa Zaimi,backings,2009,AL,2009-al
Kejsi Tola,artist,Julian Bulku,stageDirector,2009,AL,2009-al
Edmond Zhulali,composers,June Muftaraj Taylor,lyricists,2009,AL,2009-al
Edmond Zhulali,composers,Orgesa Zaimi,backings,2009,AL,2009-al
Edmond Zhulali,composers,Julian Bulku,stageDirector,2009,AL,2009-al
June Muftaraj Taylor,lyricists,Orgesa Zaimi,backings,2009,AL,2009-al
June Muftaraj Taylor,lyricists,Julian Bulku,stageDirector,2009,AL,2009-al
Orgesa Zaimi,backings,Julian Bulku,stageDirector,2009,AL,2009-al
Igor Cukrov feat. Andrea,artist,Tonči Huljić,composers,2009,HR,2009-hr
Igor Cukrov feat. Andrea,artist,Vjekoslava Huljić,lyricists,2009,HR,2009-hr
Igor Cukrov feat. Andrea,artist,Sanja Jukić,backings,2009,HR,2009-hr
Tonči Huljić,composers,Vjekoslava Huljić,lyricists,2009,HR,2009-hr
Tonči Huljić,composers,Sanja Jukić,backings,2009,HR,2009-hr
Vjekoslava Huljić,lyricists,Sanja Jukić,backings,2009,HR,2009-hr
Elena,artist,Ovidiu Bistriceanu,composers,2009,RO,2009-ro
Elena,artist,Laurenţiu Duţă,lyricists,2009,RO,2009-ro
Elena,artist,Roxana Ureche,backings,2009,RO,2009-ro
Elena,artist,Oana Draghici,stageDirector,2009,RO,2009-ro
Ovidiu Bistriceanu,composers,Laurenţiu Duţă,lyricists,2009,RO,2009-ro
Ovidiu Bistriceanu,composers,Roxana Ureche,backings,2009,RO,2009-ro
Ovidiu Bistriceanu,composers,Oana Draghici,stageDirector,2009,RO,2009-ro
Laurenţiu Duţă,lyricists,Roxana Ureche,backings,2009,RO,2009-ro
Laurenţiu Duţă,lyricists,Oana Draghici,stageDirector,2009,RO,2009-ro
Roxana Ureche,backings,Oana Draghici,stageDirector,2009,RO,2009-ro
Alex Swings Oscar Sings!,artist,Alex Christensen,writers,2009,DE,2009-de
Alex Swings Oscar Sings!,artist,Dita Von Teese,backings,2009,DE,2009-de
Alex Christensen,writers,Dita Von Teese,backings,2009,DE,2009-de
Malena Ernman,artist,Tine Matulessy,backings,2009,SE,2009-se
Malena Ernman,artist,Fredrik Kempe,composers,2009,SE,2009-se
Malena Ernman,artist,Malena Ernman,lyricists,2009,SE,2009-se
Tine Matulessy,backings,Fredrik Kempe,composers,2009,SE,2009-se
Tine Matulessy,backings,Malena Ernman,lyricists,2009,SE,2009-se
Fredrik Kempe,composers,Malena Ernman,lyricists,2009,SE,2009-se
Chiara,artist,Marc Paelinck,composers,2009,MT,2009-mt
Chiara,artist,Gregory Bilsen,lyricists,2009,MT,2009-mt
Marc Paelinck,composers,Gregory Bilsen,lyricists,2009,MT,2009-mt
Sasha Son,artist,Sam Hywel James,backings,2009,LT,2009-lt
Sasha Son,artist,Sasha Son,writers,2009,LT,2009-lt
Sam Hywel James,backings,Sasha Son,writers,2009,LT,2009-lt
Soraya,artist,Verónica Ferreiro,backings,2009,ES,2009-es
Soraya,artist,Jason Gill,composers,2009,ES,2009-es
Soraya,artist,Felipe Pedroso,lyricists,2009,ES,2009-es
Verónica Ferreiro,backings,Jason Gill,composers,2009,ES,2009-es
Verónica Ferreiro,backings,Felipe Pedroso,lyricists,2009,ES,2009-es
Jason Gill,composers,Felipe Pedroso,lyricists,2009,ES,2009-es
Waldo's People,artist,Päivi Virkkunen,backings,2009,FI,2009-fi
Waldo's People,artist,Karima,composers,2009,FI,2009-fi
Waldo's People,artist,Waldo,lyricists,2009,FI,2009-fi
Päivi Virkkunen,backings,Karima,composers,2009,FI,2009-fi
Päivi Virkkunen,backings,Waldo,lyricists,2009,FI,2009-fi
Karima,composers,Waldo,lyricists,2009,FI,2009-fi
Marko Kon & Milaan,artist,Ljubiša Dinčić,backings,2009,RS,2009-rs
Marko Kon & Milaan,artist,Milan 'Milaan' Nikolić,composers,2009,RS,2009-rs
Marko Kon & Milaan,artist,Marko Kon,lyricists,2009,RS,2009-rs
Marko Kon & Milaan,artist,Mojca Horvat,stageDirector,2009,RS,2009-rs
Ljubiša Dinčić,backings,Milan 'Milaan' Nikolić,composers,2009,RS,2009-rs
Ljubiša Dinčić,backings,Marko Kon,lyricists,2009,RS,2009-rs
Ljubiša Dinčić,backings,Mojca Horvat,stageDirector,2009,RS,2009-rs
Milan 'Milaan' Nikolić,composers,Marko Kon,lyricists,2009,RS,2009-rs
Milan 'Milaan' Nikolić,composers,Mojca Horvat,stageDirector,2009,RS,2009-rs
Marko Kon,lyricists,Mojca Horvat,stageDirector,2009,RS,2009-rs
Sinéad Mulvey & Black Daisy,artist,Nicole Billings,backings,2009,IE,2009-ie
Sinéad Mulvey & Black Daisy,artist,Niall Mooney,writers,2009,IE,2009-ie
Nicole Billings,backings,Niall Mooney,writers,2009,IE,2009-ie
Next Time,artist,Mario Stanković,backings,2009,MK,2009-mk
Next Time,artist,Jovan Jovanov,composers,2009,MK,2009-mk
Next Time,artist,Elvir Mekić,lyricists,2009,MK,2009-mk
Mario Stanković,backings,Jovan Jovanov,composers,2009,MK,2009-mk
Mario Stanković,backings,Elvir Mekić,lyricists,2009,MK,2009-mk
Jovan Jovanov,composers,Elvir Mekić,lyricists,2009,MK,2009-mk
Andrea Demirović,artist,Peter Bischof,backings,2009,ME,2009-me
Andrea Demirović,artist,Peter Match,writers,2009,ME,2009-me
Peter Bischof,backings,Peter Match,writers,2009,ME,2009-me
Lidia Kopania,artist,Patrycja Gola,backings,2009,PL,2009-pl
Lidia Kopania,artist,Rike Boomgaarden,writers,2009,PL,2009-pl
Lidia Kopania,artist,Bolesław Pawica,stageDirector,2009,PL,2009-pl
Patrycja Gola,backings,Rike Boomgaarden,writers,2009,PL,2009-pl
Patrycja Gola,backings,Bolesław Pawica,stageDirector,2009,PL,2009-pl
Rike Boomgaarden,writers,Bolesław Pawica,stageDirector,2009,PL,2009-pl
Christina Metaxa,artist,Richard Hall,backings,2009,CY,2009-cy
Christina Metaxa,artist,Fotis Nikolaou,stageDirector,2009,CY,2009-cy
Christina Metaxa,artist,Nikolas Metaxas,writers,2009,CY,2009-cy
Richard Hall,backings,Fotis Nikolaou,stageDirector,2009,CY,2009-cy
Richard Hall,backings,Nikolas Metaxas,writers,2009,CY,2009-cy
Fotis Nikolaou,stageDirector,Nikolas Metaxas,writers,2009,CY,2009-cy
Petr Elfimov,artist,Philip Mazurov,backings,2009,BY,2009-by
Petr Elfimov,artist,Petr Elfimov,composers,2009,BY,2009-by
Petr Elfimov,artist,Valery Prokhozhy,lyricists,2009,BY,2009-by
Petr Elfimov,artist,Janusz Józefowicz,stageDirector,2009,BY,2009-by
Philip Mazurov,backings,Petr Elfimov,composers,2009,BY,2009-by
Philip Mazurov,backings,Valery Prokhozhy,lyricists,2009,BY,2009-by
Philip Mazurov,backings,Janusz Józefowicz,stageDirector,2009,BY,2009-by
Petr Elfimov,composers,Valery Prokhozhy,lyricists,2009,BY,2009-by
Petr Elfimov,composers,Janusz Józefowicz,stageDirector,2009,BY,2009-by
Valery Prokhozhy,lyricists,Janusz Józefowicz,stageDirector,2009,BY,2009-by
Lovebugs,artist,Thomas Rechberger,writers,2009,CH,2009-ch
Zoli Ádok,artist,Zé Szabó,composers,2009,HU,2009-hu
Zoli Ádok,artist,Jnoffin Kasai,lyricists,2009,HU,2009-hu
Zoli Ádok,artist,Zita Karsai,backings,2009,HU,2009-hu
Zoli Ádok,artist,Tímea Papp,stageDirector,2009,HU,2009-hu
Zé Szabó,composers,Jnoffin Kasai,lyricists,2009,HU,2009-hu
Zé Szabó,composers,Zita Karsai,backings,2009,HU,2009-hu
Zé Szabó,composers,Tímea Papp,stageDirector,2009,HU,2009-hu
Jnoffin Kasai,lyricists,Zita Karsai,backings,2009,HU,2009-hu
Jnoffin Kasai,lyricists,Tímea Papp,stageDirector,2009,HU,2009-hu
Zita Karsai,backings,Tímea Papp,stageDirector,2009,HU,2009-hu
Quartissimo feat. Martina,artist,Andrej Babić,composers,2009,SI,2009-si
Quartissimo feat. Martina,artist,Andrej Babić,lyricists,2009,SI,2009-si
Quartissimo feat. Martina,artist,Miha Alujevič,stageDirector,2009,SI,2009-si
Andrej Babić,composers,Andrej Babić,lyricists,2009,SI,2009-si
Andrej Babić,composers,Miha Alujevič,stageDirector,2009,SI,2009-si
Andrej Babić,lyricists,Miha Alujevič,stageDirector,2009,SI,2009-si
The Toppers,artist,Gordon,writers,2009,NL,2009-nl
The Toppers,artist,Sarina Voorn,backings,2009,NL,2009-nl
Gordon,writers,Sarina Voorn,backings,2009,NL,2009-nl
Susanne Georgi,artist,Susana Ribalta Ponce,backings,2009,AD,2009-ad
Susanne Georgi,artist,Susanne Georgi,composers,2009,AD,2009-ad
Susanne Georgi,artist,Josep Roca Vila,lyricists,2009,AD,2009-ad
Susana Ribalta Ponce,backings,Susanne Georgi,composers,2009,AD,2009-ad
Susana Ribalta Ponce,backings,Josep Roca Vila,lyricists,2009,AD,2009-ad
Susanne Georgi,composers,Josep Roca Vila,lyricists,2009,AD,2009-ad
Kamil Mikulčík & Nela Pocisková,artist,Rastislav Dubovský,backings,2009,SK,2009-sk
Kamil Mikulčík & Nela Pocisková,artist,Rastislav Dubovský,composers,2009,SK,2009-sk
Kamil Mikulčík & Nela Pocisková,artist,Petronela Kolevská,lyricists,2009,SK,2009-sk
Rastislav Dubovský,backings,Rastislav Dubovský,composers,2009,SK,2009-sk
Rastislav Dubovský,backings,Petronela Kolevská,lyricists,2009,SK,2009-sk
Rastislav Dubovský,composers,Petronela Kolevská,lyricists,2009,SK,2009-sk
Krassimir Avramov,artist,Trey Knight,backings,2009,BG,2009-bg
Krassimir Avramov,artist,William Tabanou,composers,2009,BG,2009-bg
Krassimir Avramov,artist,William Tabanou,lyricists,2009,BG,2009-bg
Trey Knight,backings,William Tabanou,composers,2009,BG,2009-bg
Trey Knight,backings,William Tabanou,lyricists,2009,BG,2009-bg
William Tabanou,composers,William Tabanou,lyricists,2009,BG,2009-bg
Intars Busulis,artist,Vineta Elksne,backings,2009,LV,2009-lv
Intars Busulis,artist,Kārlis Lācis,composers,2009,LV,2009-lv
Intars Busulis,artist,Sergej Timofejev,lyricists,2009,LV,2009-lv
Intars Busulis,artist,Viktors Runtulis,stageDirector,2009,LV,2009-lv
Vineta Elksne,backings,Kārlis Lācis,composers,2009,LV,2009-lv
Vineta Elksne,backings,Sergej Timofejev,lyricists,2009,LV,2009-lv
Vineta Elksne,backings,Viktors Runtulis,stageDirector,2009,LV,2009-lv
Kārlis Lācis,composers,Sergej Timofejev,lyricists,2009,LV,2009-lv
Kārlis Lācis,composers,Viktors Runtulis,stageDirector,2009,LV,2009-lv
Sergej Timofejev,lyricists,Viktors Runtulis,stageDirector,2009,LV,2009-lv
Copycat,artist,Miam Monster Miam,composers,2009,BE,2009-be
Copycat,artist,Jacques Duvall,lyricists,2009,BE,2009-be
Miam Monster Miam,composers,Jacques Duvall,lyricists,2009,BE,2009-be
Gipsy.cz,artist,Radoslav 'Gipsy' Banga,writers,2009,CZ,2009-cz
Lena,artist,Maya Saban,backings,2010,DE,2010-de
Lena,artist,Julie Frost,writers,2010,DE,2010-de
Maya Saban,backings,Julie Frost,writers,2010,DE,2010-de
maNga,artist,Yağmur Sarıgül,composers,2010,TR,2010-tr
maNga,artist,Yağmur Sarıgül,lyricists,2010,TR,2010-tr
maNga,artist,Genevieve Cleary,stageDirector,2010,TR,2010-tr
maNga,artist,Nathalie Marrable,dancers,2010,TR,2010-tr
Yağmur Sarıgül,composers,Yağmur Sarıgül,lyricists,2010,TR,2010-tr
Yağmur Sarıgül,composers,Genevieve Cleary,stageDirector,2010,TR,2010-tr
Yağmur Sarıgül,composers,Nathalie Marrable,dancers,2010,TR,2010-tr
Yağmur Sarıgül,lyricists,Genevieve Cleary,stageDirector,2010,TR,2010-tr
Yağmur Sarıgül,lyricists,Nathalie Marrable,dancers,2010,TR,2010-tr
Genevieve Cleary,stageDirector,Nathalie Marrable,dancers,2010,TR,2010-tr
Paula Seling & Ovi,artist,Ovidiu Cernăuţeanu,writers,2010,RO,2010-ro
Paula Seling & Ovi,artist,Oana Puscatu,backings,2010,RO,2010-ro
Ovidiu Cernăuţeanu,writers,Oana Puscatu,backings,2010,RO,2010-ro
Chanée & N'evergreen,artist,Thomas G:son,composers,2010,DK,2010-dk
Chanée & N'evergreen,artist,Thomas G:son,lyricists,2010,DK,2010-dk
Chanée & N'evergreen,artist,Mads Enggaard,backings,2010,DK,2010-dk
Thomas G:son,composers,Thomas G:son,lyricists,2010,DK,2010-dk
Thomas G:son,composers,Mads Enggaard,backings,2010,DK,2010-dk
Thomas G:son,lyricists,Mads Enggaard,backings,2010,DK,2010-dk
Safura,artist,Stefan Örn,composers,2010,AZ,2010-az
Safura,artist,Sandra Bjurman,lyricists,2010,AZ,2010-az
Safura,artist,Samantha Powell,backings,2010,AZ,2010-az
Stefan Örn,composers,Sandra Bjurman,lyricists,2010,AZ,2010-az
Stefan Örn,composers,Samantha Powell,backings,2010,AZ,2010-az
Sandra Bjurman,lyricists,Samantha Powell,backings,2010,AZ,2010-az
Tom Dice,artist,Tom Eeckhout,composers,2010,BE,2010-be
Tom Dice,artist,Tom Eeckhout,lyricists,2010,BE,2010-be
Tom Dice,artist,Mátyás Blanckaert,backings,2010,BE,2010-be
Tom Eeckhout,composers,Tom Eeckhout,lyricists,2010,BE,2010-be
Tom Eeckhout,composers,Mátyás Blanckaert,backings,2010,BE,2010-be
Tom Eeckhout,lyricists,Mátyás Blanckaert,backings,2010,BE,2010-be
Eva Rivas,artist,Armen Martirosyan,composers,2010,AM,2010-am
Eva Rivas,artist,Karen Kavaleryan,lyricists,2010,AM,2010-am
Eva Rivas,artist,Marina Ahverdova,backings,2010,AM,2010-am
Armen Martirosyan,composers,Karen Kavaleryan,lyricists,2010,AM,2010-am
Armen Martirosyan,composers,Marina Ahverdova,backings,2010,AM,2010-am
Karen Kavaleryan,lyricists,Marina Ahverdova,backings,2010,AM,2010-am
Giorgos Alkaios & Friends,artist,Giorgos Alkaios,composers,2010,GR,2010-gr
Giorgos Alkaios & Friends,artist,Petros Zlatkos,lyricists,2010,GR,2010-gr
Giorgos Alkaios & Friends,artist,Petros Zlatkos,backings,2010,GR,2010-gr
Giorgos Alkaios & Friends,artist,Emy Armine Zaryan,stageDirector,2010,GR,2010-gr
Giorgos Alkaios,composers,Petros Zlatkos,lyricists,2010,GR,2010-gr
Giorgos Alkaios,composers,Petros Zlatkos,backings,2010,GR,2010-gr
Giorgos Alkaios,composers,Emy Armine Zaryan,stageDirector,2010,GR,2010-gr
Petros Zlatkos,lyricists,Petros Zlatkos,backings,2010,GR,2010-gr
Petros Zlatkos,lyricists,Emy Armine Zaryan,stageDirector,2010,GR,2010-gr
Petros Zlatkos,backings,Emy Armine Zaryan,stageDirector,2010,GR,2010-gr
Sofia Nizharadze,artist,Harry Sommerdahl,writers,2010,GE,2010-ge
Sofia Nizharadze,artist,Sopho Toroshelidze,backings,2010,GE,2010-ge
Sofia Nizharadze,artist,Redha Benteifour,stageDirector,2010,GE,2010-ge
Harry Sommerdahl,writers,Sopho Toroshelidze,backings,2010,GE,2010-ge
Harry Sommerdahl,writers,Redha Benteifour,stageDirector,2010,GE,2010-ge
Sopho Toroshelidze,backings,Redha Benteifour,stageDirector,2010,GE,2010-ge
Alyosha,artist,Vadim Lisitsa,composers,2010,UA,2010-ua
Alyosha,artist,Olena Kucher,lyricists,2010,UA,2010-ua
Vadim Lisitsa,composers,Olena Kucher,lyricists,2010,UA,2010-ua
Peter Nalitch & Friends,artist,Peter Nalitch,writers,2010,RU,2010-ru
Peter Nalitch & Friends,artist,Yuri Kostenko,backings,2010,RU,2010-ru
Peter Nalitch,writers,Yuri Kostenko,backings,2010,RU,2010-ru
Jessy Matador,artist,Jacques Ballue,writers,2010,FR,2010-fr
Milan Stanković,artist,Goran Bregović,composers,2010,RS,2010-rs
Milan Stanković,artist,Marina Tucaković,lyricists,2010,RS,2010-rs
Milan Stanković,artist,Zorica Brkić,backings,2010,RS,2010-rs
Milan Stanković,artist,Gorčin Stojanović,stageDirector,2010,RS,2010-rs
Goran Bregović,composers,Marina Tucaković,lyricists,2010,RS,2010-rs
Goran Bregović,composers,Zorica Brkić,backings,2010,RS,2010-rs
Goran Bregović,composers,Gorčin Stojanović,stageDirector,2010,RS,2010-rs
Marina Tucaković,lyricists,Zorica Brkić,backings,2010,RS,2010-rs
Marina Tucaković,lyricists,Gorčin Stojanović,stageDirector,2010,RS,2010-rs
Zorica Brkić,backings,Gorčin Stojanović,stageDirector,2010,RS,2010-rs
Harel Skaat,artist,Tomer Hadadi,composers,2010,IL,2010-il
Harel Skaat,artist,Noam Horev,lyricists,2010,IL,2010-il
Harel Skaat,artist,Doron Medalie,stageDirector,2010,IL,2010-il
Tomer Hadadi,composers,Noam Horev,lyricists,2010,IL,2010-il
Tomer Hadadi,composers,Doron Medalie,stageDirector,2010,IL,2010-il
Noam Horev,lyricists,Doron Medalie,stageDirector,2010,IL,2010-il
Daniel Diges,artist,Jesús Cañadilla,writers,2010,ES,2010-es
Daniel Diges,artist,Yuri Olmechenko,backings,2010,ES,2010-es
Daniel Diges,artist,Maite Marcos,stageDirector,2010,ES,2010-es
Jesús Cañadilla,writers,Yuri Olmechenko,backings,2010,ES,2010-es
Jesús Cañadilla,writers,Maite Marcos,stageDirector,2010,ES,2010-es
Yuri Olmechenko,backings,Maite Marcos,stageDirector,2010,ES,2010-es
Juliana Pasha,artist,Ardit Gjebrea,composers,2010,AL,2010-al
Juliana Pasha,artist,Pirro Çako,lyricists,2010,AL,2010-al
Juliana Pasha,artist,Olen Cesari,backings,2010,AL,2010-al
Ardit Gjebrea,composers,Pirro Çako,lyricists,2010,AL,2010-al
Ardit Gjebrea,composers,Olen Cesari,backings,2010,AL,2010-al
Pirro Çako,lyricists,Olen Cesari,backings,2010,AL,2010-al
Vukašin Brajić,artist,Edin-Dino Šaran,writers,2010,BA,2010-ba
Vukašin Brajić,artist,Marko Vulinović,backings,2010,BA,2010-ba
Vukašin Brajić,artist,Gorčin Stojanović,stageDirector,2010,BA,2010-ba
Edin-Dino Šaran,writers,Marko Vulinović,backings,2010,BA,2010-ba
Edin-Dino Šaran,writers,Gorčin Stojanović,stageDirector,2010,BA,2010-ba
Marko Vulinović,backings,Gorčin Stojanović,stageDirector,2010,BA,2010-ba
Filipa Azevedo,artist,Augusto Madureira,writers,2010,PT,2010-pt
Filipa Azevedo,artist,Pedro Mimoso,backings,2010,PT,2010-pt
Augusto Madureira,writers,Pedro Mimoso,backings,2010,PT,2010-pt
Hera Björk,artist,Pétur Örn Guðmundsson,backings,2010,IS,2010-is
Hera Björk,artist,Örlygur Smári,writers,2010,IS,2010-is
Pétur Örn Guðmundsson,backings,Örlygur Smári,writers,2010,IS,2010-is
Didrik Solli,artist,Hanne Margrethe Fredriksen Sørvaag,writers,2010,NO,2010-no
Didrik Solli,artist,Øyvind Boye Løvold,backings,2010,NO,2010-no
Didrik Solli,artist,Mattias Carlsson,stageDirector,2010,NO,2010-no
Hanne Margrethe Fredriksen Sørvaag,writers,Øyvind Boye Løvold,backings,2010,NO,2010-no
Hanne Margrethe Fredriksen Sørvaag,writers,Mattias Carlsson,stageDirector,2010,NO,2010-no
Øyvind Boye Løvold,backings,Mattias Carlsson,stageDirector,2010,NO,2010-no
Jon Lilygreen & The Islanders,artist,Nasos Lambrianides,composers,2010,CY,2010-cy
Jon Lilygreen & The Islanders,artist,Nasos Lambrianides,lyricists,2010,CY,2010-cy
Nasos Lambrianides,composers,Nasos Lambrianides,lyricists,2010,CY,2010-cy
Sunstroke Project & Olia Tira,artist,Sergey Stepanov,composers,2010,MD,2010-md
Sunstroke Project & Olia Tira,artist,Alina Galetskaya,lyricists,2010,MD,2010-md
Sunstroke Project & Olia Tira,artist,Vadim Tsurkan,dancers,2010,MD,2010-md
Sergey Stepanov,composers,Alina Galetskaya,lyricists,2010,MD,2010-md
Sergey Stepanov,composers,Vadim Tsurkan,dancers,2010,MD,2010-md
Alina Galetskaya,lyricists,Vadim Tsurkan,dancers,2010,MD,2010-md
Niamh Kavanagh,artist,Nikki Kavanagh,backings,2010,IE,2010-ie
Niamh Kavanagh,artist,Niall Mooney,writers,2010,IE,2010-ie
Nikki Kavanagh,backings,Niall Mooney,writers,2010,IE,2010-ie
3+2,artist,Robert Wells,backings,2010,BY,2010-by
3+2,artist,Maxim Fadeev,composers,2010,BY,2010-by
3+2,artist,Malka Chaplin,lyricists,2010,BY,2010-by
Robert Wells,backings,Maxim Fadeev,composers,2010,BY,2010-by
Robert Wells,backings,Malka Chaplin,lyricists,2010,BY,2010-by
Maxim Fadeev,composers,Malka Chaplin,lyricists,2010,BY,2010-by
Josh,artist,Pete Waterman,writers,2010,GB,2010-gb
Anna Bergendahl,artist,Martin Kagemark,backings,2010,SE,2010-se
Anna Bergendahl,artist,Bobby Ljunggren,composers,2010,SE,2010-se
Anna Bergendahl,artist,Kristian Lagerström,lyricists,2010,SE,2010-se
Martin Kagemark,backings,Bobby Ljunggren,composers,2010,SE,2010-se
Martin Kagemark,backings,Kristian Lagerström,lyricists,2010,SE,2010-se
Bobby Ljunggren,composers,Kristian Lagerström,lyricists,2010,SE,2010-se
Kuunkuiskaajat,artist,Jukka Tarvaisen,backings,2010,FI,2010-fi
Kuunkuiskaajat,artist,Timo Kiiskinen,writers,2010,FI,2010-fi
Jukka Tarvaisen,backings,Timo Kiiskinen,writers,2010,FI,2010-fi
InCulto,artist,Laurynas Lapė,writers,2010,LT,2010-lt
Thea Garrett,artist,Pamela Bezzina,backings,2010,MT,2010-mt
Thea Garrett,artist,Jason Cassar,composers,2010,MT,2010-mt
Thea Garrett,artist,Sunny Aquilina,lyricists,2010,MT,2010-mt
Pamela Bezzina,backings,Jason Cassar,composers,2010,MT,2010-mt
Pamela Bezzina,backings,Sunny Aquilina,lyricists,2010,MT,2010-mt
Jason Cassar,composers,Sunny Aquilina,lyricists,2010,MT,2010-mt
Marcin Mroziński,artist,Marcin Nierubiec,composers,2010,PL,2010-pl
Marcin Mroziński,artist,Marcin Mroziński,lyricists,2010,PL,2010-pl
Marcin Mroziński,artist,Weronika Bochat-Piotrowska,backings,2010,PL,2010-pl
Marcin Mroziński,artist,Dariusz Lewandowski,stageDirector,2010,PL,2010-pl
Marcin Nierubiec,composers,Marcin Mroziński,lyricists,2010,PL,2010-pl
Marcin Nierubiec,composers,Weronika Bochat-Piotrowska,backings,2010,PL,2010-pl
Marcin Nierubiec,composers,Dariusz Lewandowski,stageDirector,2010,PL,2010-pl
Marcin Mroziński,lyricists,Weronika Bochat-Piotrowska,backings,2010,PL,2010-pl
Marcin Mroziński,lyricists,Dariusz Lewandowski,stageDirector,2010,PL,2010-pl
Weronika Bochat-Piotrowska,backings,Dariusz Lewandowski,stageDirector,2010,PL,2010-pl
Malcolm Lincoln,artist,Mick Pedaja,backings,2010,EE,2010-ee
Malcolm Lincoln,artist,Robin Juhkental,writers,2010,EE,2010-ee
Mick Pedaja,backings,Robin Juhkental,writers,2010,EE,2010-ee
Gjoko Taneski,artist,Kristian Gabroski,writers,2010,MK,2010-mk
Gjoko Taneski,artist,Damjan Pejcinoski,backings,2010,MK,2010-mk
Kristian Gabroski,writers,Damjan Pejcinoski,backings,2010,MK,2010-mk
Feminnem,artist,Branimir Mihaljević,composers,2010,HR,2010-hr
Feminnem,artist,Pamela Ramljak,lyricists,2010,HR,2010-hr
Branimir Mihaljević,composers,Pamela Ramljak,lyricists,2010,HR,2010-hr
Sieneke,artist,Pierre Kartner,writers,2010,NL,2010-nl
